#name,id,top,right,bot,left
img/t8/t01.rgb2,0,0,0,0,0
img/t8/t02.rgb2,1,1,1,1,1
img/t8/t03.rgb2,2,2,2,2,2
img/t8/t04.rgb2,3,3,3,3,3
#splittiles
#green=0/blue=1
img/t8/t05.rgb2,4,0,1,1,0
img/t8/t06.rgb2,5,0,0,1,1
img/t8/t07.rgb2,6,1,0,0,1
img/t8/t08.rgb2,7,1,1,0,0
#green=0/brown=2
img/t8/t09.rgb2,8,0,2,2,0
img/t8/t10.rgb2,9,0,0,2,2
img/t8/t11.rgb2,10,2,0,0,2
img/t8/t12.rgb2,11,2,2,0,0
#white=3/green=0
img/t8/t13.rgb2,12,3,3,0,0
img/t8/t14.rgb2,13,0,3,3,0
img/t8/t15.rgb2,14,0,0,3,3
img/t8/t16.rgb2,15,3,0,0,3
#white=3/brown=2
img/t8/t17.rgb2,16,3,3,2,2
img/t8/t18.rgb2,17,2,3,3,2
img/t8/t19.rgb2,18,2,2,3,3
img/t8/t20.rgb2,19,3,2,2,3
#brown=2/blue=1
img/t8/t21.rgb2,20,2,1,1,2
img/t8/t22.rgb2,21,2,2,1,1
img/t8/t23.rgb2,22,1,2,2,1
img/t8/t24.rgb2,23,1,1,2,2
